mls_id,status,property_type,list_price,address,city,state,zip_code,district,bedrooms,bathrooms,living_area,piccount
341963,SLD,SF,275000.0,40 KUPALAIKI Loop,KIHEI,HI,96753,Kihei,3,2.0,1172,15
325958,CXL,SF,275000.0,155 I Auhana ST,KIHEI,HI,96753,Kihei,2,1.0,720,1
348582,SLD,SF,277900.0,350 Hoalike ST,KIHEI,HI,96753,Kihei,3,1.5,984,9
346616,SLD,SF,278000.0,911 Mahealani ST,KIHEI,HI,96753,Kihei,3,2.0,1095,12
346239,SLD,SF,279000.0,275 Ilikai ST,KIHEI,HI,96753,Kihei,3,2.0,1075,5
361620,SLD,SF,279900.0,145 Lanikila Pl,KIHEI,HI,96753,Kihei,2,1.0,1104,17
364869,SLD,SF,279900.0,23 Kuapapa Pl,KIHEI,HI,96753,Kihei,3,1.5,1344,6
352402,SLD,SF,280000.0,250 Kenolio RD,KIHEI,HI,96753,Kihei,3,2.0,1056,0
354186,SLD,SF,280000.0,246 Kenolio RD,KIHEI,HI,96753,Kihei,3,2.0,1056,0
352454,SLD,SF,280000.0,252 Kenolio RD,KIHEI,HI,96753,Kihei,3,2.0,1056,0
358369,SLD,SF,280000.0,1667 S Kihei Rd,KIHEI,HI,96753,Kihei,3,2.0,960,25
325255,CXL,SF,280000.0,144 Lipoa ST,KIHEI,HI,96753,Kihei,4,2.0,1360,10
347871,SLD,SF,280000.0,282 HALE KAI ST,KIHEI,HI,96753,Kihei,3,1.5,984,19
349001,CXL,SF,282900.0,233 Humupea PL,KIHEI,HI,96753,Kihei,3,2.0,1808,8
350338,SLD,SF,285000.0,244 HOALIKE ST,KIHEI,HI,96753,Kihei,3,2.5,984,24
347733,SLD,SF,287300.0,225 Hale Kai ST,KIHEI,HI,96753,Kihei,3,1.5,984,10
347302,SLD,SF,290000.0,273 Kaiwahine ST,KIHEI,HI,96753,Kihei,3,2.0,960,6
345759,SLD,SF,292545.0,318 Hale Kai ST,KIHEI,HI,96753,Kihei,4,2.0,1608,10
342622,SLD,SF,293900.0,152 LULUKA PL,KIHEI,HI,96753,Kihei,4,3.0,1488,1
337248,SLD,SF,295000.0,1667  S Kihei RD,KIHEI,HI,96753,Kihei,3,2.0,960,13
355402,CXL,SF,295000.0,145 Ohukai RD,KIHEI,HI,96753,Kihei,3,1.0,1136,29
359822,SLD,SF,295000.0,39 Kuapapa Pl,KIHEI,HI,96753,Kihei,4,3.0,1554,1
344995,CXL,SF,295000.0,155 Auhana RD,KIHEI,HI,96753,Kihei,3,2.0,929,6
345838,SLD,SF,295000.0,194 Akai ST,KIHEI,HI,96753,Kihei,3,1.5,1104,16
344997,CXL,SF,295000.0,155 Auhana RD,KIHEI,HI,96753,Kihei,3,1.0,1070,6
347013,SLD,SF,295000.0,100 HONUEA PL,KIHEI,HI,96753,Kihei,3,2.0,1199,12
325955,CXL,SF,295000.0,155 C Auhana ST,KIHEI,HI,96753,Kihei,2,1.0,720,5
348818,SLD,SF,297900.0,327 Kaiwahine ST,KIHEI,HI,96753,Kihei,3,3.0,1708,12
347326,SLD,SF,298000.0,422 Kaiola PL,KIHEI,HI,96753,Kihei,3,2.0,1056,8
332775,CXL,SF,298500.0,295 Ailana PL,KIHEI,HI,96753,Kihei,1,1.0,500,2
350044,SLD,SF,299000.0,69 ALIILANI,KIHEI,HI,96753,Kihei,3,1.0,864,8
353505,SLD,SF,299000.0,56 KONALE PL,KIHEI,HI,96753,Kihei,4,3.0,1760,2
